Original_Catname,Mapped_Catname
[{'url': '/categories/370'; 'name': 'Party'}],1
[{'url': '/categories/425'; 'name': 'Disneyland Resort'}],2
[{'url': '/categories/30'; 'name': 'Cineplex'}],3
[{'url': '/categories/349'; 'name': 'Aviary'}],4
[{'url': '/categories/128'; 'name': 'Bridge'}],5
[{'url': '/categories/917'; 'name': 'Farmers Market'}],6
[{'url': '/categories/448'; 'name': '24 Hour Fitness'}],7
[{'url': '/categories/167'; 'name': 'Brewery / Microbrewery'}],8
"[{'url': '/categories/902'; 'name': ""Ben & Jerry's""}]",9
[{'url': '/categories/444'; 'name': 'In-N-Out Burger'}],10
[{'url': '/categories/23'; 'name': 'Skyscraper'}],11
[{'url': '/categories/39'; 'name': 'Regional / State Park'}],12
[{'url': '/categories/114'; 'name': 'Lake & Pond'}],13
[{'url': '/categories/170'; 'name': 'Warehouse & Industrial'}],14
[{'url': '/categories/193'; 'name': 'Record Store'}],15
[{'url': '/categories/81'; 'name': 'South American / Latin'}],16
[{'url': '/categories/458'; 'name': 'Best Buy'}],17
[{'url': '/categories/136'; 'name': 'Arts'}],18
[{'url': '/categories/356'; 'name': 'Primates'}],19
[{'url': '/categories/663'; 'name': 'Ice Skating'}],20
[{'url': '/categories/159'; 'name': 'Sushi'}],21
[{'url': '/categories/218'; 'name': 'Government'}],22
[{'url': '/categories/363'; 'name': 'Chipotle'}],23
[{'url': '/categories/161'; 'name': 'Vegetarian / Vegan'}],24
[{'url': '/categories/34'; 'name': 'Thrift Store'}],25
[{'url': '/categories/16'; 'name': 'American'}],26
[{'url': '/categories/97'; 'name': 'Saloon'}],27
"[{'url': '/categories/436'; 'name': ""McDonald's""}]",28
[{'url': '/categories/28'; 'name': 'Dive Bar'}],29
[{'url': '/categories/126'; 'name': 'Courthouse'}],30
[{'url': '/categories/927'; 'name': 'Vietnamese'}],31
[{'url': '/categories/180'; 'name': 'Candy Store'}],32
[{'url': '/categories/350'; 'name': 'Bears'}],33
[{'url': '/categories/164'; 'name': 'Subway'}],34
[{'url': '/categories/661'; 'name': 'Department Store'}],35
[{'url': '/categories/57'; 'name': 'Other - Travel & Lodging'}],36
[{'url': '/categories/33'; 'name': 'Zoo'}],37
[{'url': '/categories/1'; 'name': 'Coffee Shop'}],38
[{'url': '/categories/361'; 'name': 'Doughnuts'}],39
[{'url': '/categories/188'; 'name': 'Gallery'}],40
