Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
1,"[2598, 1135, 546, 2520, 2634, 1760, 1019, 2251, 715, 2842, 2314]",58,29,"[17, 6, 3, 7, 8, 1, 4, 2, 5, 18]","[5220, 2100, 1487, 1196, 601, 4041, 3719, 4587, 4367, 421, 1963, 4482, 1986, 5614, 1190, 6503, 6840, 2005, 1743, 3827, 4239, 4161, 3929, 2290, 6427, 3120, 3501, 2085, 472, 3483, 4561, 6587, 3151, 2836, 2042, 1826, 189, 4188, 992, 419, 5595, 6831, 2785, 1084, 3830, 6829, 3691]","[4041, 4367, 2100, 1963, 1196, 1487, 601, 1986, 1190, 6840, 1743, 4239, 2290, 6427, 3120, 4587, 2085, 472, 4561, 3151, 2836, 5220, 189, 992, 5595, 1084, 6829]"
2,"[2056, 2986, 497, 338, 38, 1933]",7,206,"[20, 17, 19, 14, 3, 12, 0, 21, 15, 16]","[6252, 2, 813, 5916, 4072, 5738, 2909, 5423, 2577, 5341, 5584, 5804, 4685, 1448, 3487, 2495, 4340, 3277, 4002, 1639, 740, 3162]","[6252, 2, 5423, 5341, 5804, 1448, 2495, 3277, 813, 1639, 5916, 3162, 5738, 4072]"
3,"[178, 2239]",42,320,"[17, 21, 16, 18]","[6463, 5726, 3185, 1595, 6900, 4371, 4173, 4490, 3080, 3632, 4164]","[3185, 1595, 6900, 4371, 4490, 3080, 4164]"
4,"[1744, 330, 1941, 266, 2104]",127,393,"[14, 2, 0, 19, 17, 3, 4, 23, 21, 18]","[5297, 4007, 5564, 3813, 197, 4633, 4397, 1545, 6249, 2466, 3290, 3260, 888]","[5564, 5297, 197, 4633, 4397, 1545, 4007, 3290, 888]"
5,"[1358, 947, 128]",243,330,"[18, 3, 0, 23, 20, 21, 4, 1]","[5229, 2499, 858, 1317, 3801, 4096, 3498, 1748, 1233, 4405, 2411, 999, 3522, 5335]","[1317, 5229, 2499, 3801, 858, 1233, 4405, 999, 5335]"
6,"[546, 502, 356, 987]",221,541,"[22, 4, 0, 5, 3, 1, 13, 14]","[4775, 2033, 7, 6910, 3351, 6623, 156, 6836, 4255, 6162, 2093, 3225, 4130]","[4775, 2033, 6623, 6836, 4255, 4130]"
7,"[356, 546, 1931, 858, 1844]",217,541,"[3, 1, 6, 2, 18, 21, 22]","[6, 3427, 1321, 4998, 4775, 1093, 1487, 2663, 4388, 1744, 1169, 3843, 5397, 6238, 3489]","[6, 1321, 4775, 1487, 4388, 3843, 3489]"
8,"[971, 622]",230,83,"[1, 0, 2, 3, 23, 20, 21, 15, 18, 14]","[15, 8, 5328, 6905, 1646, 3922, 1217, 2015, 3345, 4189, 2701, 5892, 3285, 5429, 5609]","[15, 8, 5328, 6905, 3345, 4189, 1646, 3922, 5892, 5429, 1217, 5609]"
9,"[1484, 1761, 1050, 401, 2454, 1946]",191,29,"[20, 3, 2, 19, 1, 0, 18]","[1400, 1826, 4944, 2124, 3958, 3874, 1533, 3527, 5684, 5134, 4864, 2566, 4442, 5148, 5513, 4088, 3312, 4838, 439, 610, 202, 1817, 6471, 624, 4482, 6076, 1639, 1244, 3807]","[4944, 1400, 1826, 2124, 5684, 2566, 5148, 4088, 4838, 610, 1817, 624, 6076, 3807]"
10,"[2490, 1427, 1947, 432, 933, 329, 1981, 1590, 1184, 1815, 2662, 314, 660, 2293, 1956, 2325, 2383, 1244, 1170, 3019, 1378, 1669, 2577]",104,506,"[18, 16, 20, 15, 0, 19, 23, 22, 17, 21, 14, 13]","[2977, 4352, 10, 5481, 6639, 1056, 4821, 842, 6095, 3093, 2794, 3195, 3971, 5178, 6865, 2456, 6391, 2931, 1028, 2514, 2832, 2482, 5368, 5526, 2627, 1336, 6655, 4342, 6319, 2071, 2221, 4254, 5409, 5060, 5865, 6692, 6100, 1825, 6902, 1968, 6820, 2998, 2892, 809, 6384, 6206, 478, 3314, 282, 1759, 1187, 4454, 4231, 5980, 6123, 4547, 1359, 422, 2536, 4130, 1620, 5116, 486, 2762, 1463, 888, 1163, 6116, 4898, 2000, 5110, 5736, 6849, 4939, 4873, 883, 872, 2989, 1804, 6772, 1639]","[2977, 4352, 10, 4821, 3195, 1056, 3971, 5178, 6095, 3093, 5481, 6391, 1028, 2832, 2482, 5368, 5526, 2794, 1336, 6655, 4342, 6319, 2221, 4254, 5865, 1825, 2998, 6384, 282, 1187, 4231, 4547, 1359, 2536, 4130, 1620, 2762, 888, 6116, 4898, 2000, 5110, 5736, 4939, 4873, 883, 2989, 6772, 842]"
