Original_Region,Mapped_Region
849VMW,1
84CWHC,2
84CVC7,3
8554HR,4
8554M5,5
84CWHJ,6
85866Q,7
84CV7P,8
8553WJ,9
849WQ2,10
85867M,11
85867P,12
848WJ4,13
8553MX,14
8544QV,15
85642R,16
858727,17
849VVM,18
84CWMM,19
85544M,20
85728X,21
8544MR,22
85728W,23
85549F,24
849W3C,25
85634R,26
8544WQ,27
85543Q,28
849VQH,29
85543P,30
848WX3,31
8544XP,32
85633Q,33
85643F,34
849V9W,35
849VMG,36
84CWRP,37
849V9Q,38
849W4C,39
8576XV,40
8554M6,41
8572X2,42
85547J,43
84CV4Q,44
84FX6V,45
849VCV,46
8553RR,47
8554HV,48
849VGG,49
85F2G3,50
8553WM,51
849VMJ,52
8553QP,53
8554MP,54
849W84,55
849VFQ,56
8554J9,57
849VXC,58
8553PP,59
84FX8Q,60
8554W2,61
849VVF,62
85644C,63
856438,64
85642Q,65
85863Q,66
848WH6,67
85643H,68
84CWCG,69
8544QQ,70
85633M,71
85866M,72
849VXV,73
8582R7,74
8544VR,75
85544Q,76
8544QX,77
849VXP,78
849WF3,79
849V2W,80
85643R,81
85543X,82
85862R,83
849VJR,84
849VMH,85
8554P4,86
8553RJ,87
8554R5,88
849VRP,89
849VJX,90
84CW25,91
85864W,92
849VPG,93
849VQF,94
849VHX,95
85865M,96
8582Q4,97
85635Q,98
8554R2,99
8554J7,100
849W92,101
849WC3,102
84CWMR,103
849WP3,104
84FX5Q,105
85865J,106
84CWPH,107
8544WR,108
84CV7M,109
8553WP,110
85639C,111
849WM4,112
856443,113
85544W,114
849V8W,115
849WR2,116
849WX2,117
85637F,118
849VGQ,119
8562CC,120
84CV2V,121
85863X,122
8563C9,123
85644M,124
849VCH,125
849VWP,126
85542V,127
8544WP,128
848VXX,129
849VMX,130
856445,131
8562C6,132
8554F8,133
85637C,134
8554R4,135
849VCX,136
85863R,137
85634W,138
8553PV,139
84CWMQ,140
84CWG2,141
85864Q,142
