Uid,Pid,Time
1240,5909,2009-03-16 21:16
1240,693,2009-03-16 22:01
1240,1163,2009-03-16 22:06
2235,5614,2009-03-20 02:49
2235,5756,2009-03-20 04:24
2235,5004,2009-03-20 04:36
2235,3073,2009-03-20 19:09
2235,4646,2009-03-20 20:38
2235,3097,2009-03-20 20:45
2235,3073,2009-03-20 21:10
2235,3073,2009-03-23 17:03
2235,6252,2009-03-23 22:20
2235,6068,2009-03-24 00:23
83,693,2009-03-24 16:59
2235,2289,2009-03-24 19:30
83,1163,2009-03-25 02:28
2235,5004,2009-03-25 03:41
2235,4011,2009-03-25 03:42
83,1163,2009-03-25 19:46
83,2955,2009-03-26 00:18
1760,1667,2009-03-27 20:44
1760,3097,2009-03-28 01:41
1760,1655,2009-03-28 05:02
2235,487,2009-03-31 04:27
2235,1266,2009-03-31 04:33
2235,575,2009-03-31 04:39
2235,4191,2009-04-03 19:18
2235,6607,2009-04-03 19:39
2235,6607,2009-04-03 20:44
2235,190,2009-04-04 01:33
2235,1266,2009-04-04 22:08
2235,2593,2009-04-04 22:22
2235,6538,2009-04-04 22:24
2235,4482,2009-04-04 22:39
2235,1639,2009-04-05 19:05
2235,3073,2009-04-06 17:07
2235,5738,2009-04-06 19:24
2235,3073,2009-04-06 19:47
2235,487,2009-04-10 02:19
2235,6685,2009-04-10 22:27
2235,693,2009-04-10 22:36
2235,852,2009-04-10 22:41
2235,487,2009-04-12 01:41
2235,6069,2009-04-13 00:26
2235,6069,2009-04-13 01:14
2235,6811,2009-04-13 01:34
2235,4992,2009-04-14 20:04
2235,6242,2009-04-14 20:56
2235,472,2009-04-14 21:12
2235,2773,2009-04-14 21:54
2235,6380,2009-04-14 21:56
2235,3735,2009-04-14 22:05
2235,3483,2009-04-14 22:08
2235,534,2009-04-16 21:16
2235,689,2009-04-17 20:13
2235,1667,2009-04-17 20:40
2235,902,2009-04-17 21:22
2235,1120,2009-04-19 23:36
2235,4124,2009-04-20 00:23
2235,6848,2009-04-20 00:23
2235,5535,2009-04-20 00:24
2235,5458,2009-04-20 00:26
2235,5124,2009-04-20 00:27
2235,2598,2009-04-20 02:59
2235,931,2009-04-20 03:03
2235,6413,2009-04-20 04:14
2235,931,2009-04-20 04:15
2047,1120,2009-04-25 22:19
2047,349,2009-04-25 22:25
2047,3100,2009-04-25 22:27
2047,3991,2009-04-25 22:30
2047,5124,2009-04-25 22:52
2047,6848,2009-04-25 22:55
2047,4124,2009-04-25 23:00
2047,2598,2009-04-25 23:02
2047,6413,2009-04-25 23:04
2047,931,2009-04-25 23:06
2047,5084,2009-04-25 23:16
39,4530,2009-05-01 17:21
39,5278,2009-05-01 17:32
39,4219,2009-05-01 17:54
39,5124,2009-05-01 18:06
39,5458,2009-05-01 18:16
39,5124,2009-05-01 18:17
39,5535,2009-05-01 18:18
39,6848,2009-05-01 18:20
39,2598,2009-05-01 18:20
39,6413,2009-05-01 18:25
39,931,2009-05-01 18:34
