Original_Catname,Mapped_Catname
Fried Chicken Joint,1
Bridal Shop,2
Food,3
Eastern European Restaurant,4
Home (private),5
Historic Site,6
Harbor / Marina,7
Comedy Club,8
Medical Center,9
Pool Hall,10
Coffee Shop,11
Sporting Goods Shop,12
School,13
Burger Joint,14
Diner,15
Parking,16
Law School,17
Hardware Store,18
Candy Store,19
Chinese Restaurant,20
Dessert Shop,21
Flea Market,22
Travel & Transport,23
Food Truck,24
Arts & Crafts Store,25
Ice Cream Shop,26
Drugstore / Pharmacy,27
Athletic & Sport,28
Factory,29
Molecular Gastronomy Restaurant,30
Electronics Store,31
Pizza Place,32
Movie Theater,33
Market,34
Mall,35
Spanish Restaurant,36
College & University,37
Steakhouse,38
Other Nightlife,39
Temple,40
Outdoors & Recreation,41
Post Office,42
Garden Center,43
College Stadium,44
Furniture / Home Store,45
Theater,46
Funeral Home,47
Department Store,48
Snack Place,49
Beach,50
Burrito Place,51
Falafel Restaurant,52
Garden,53
Office,54
Plaza,55
Hobby Shop,56
Middle School,57
Café,58
Racetrack,59
Caribbean Restaurant,60
Restaurant,61
Mobile Phone Shop,62
Food & Drink Shop,63
Sushi Restaurant,64
Fast Food Restaurant,65
Housing Development,66
Ferry,67
Thrift / Vintage Store,68
Latin American Restaurant,69
Italian Restaurant,70
Cuban Restaurant,71
Train Station,72
Vegetarian / Vegan Restaurant,73
Salon / Barbershop,74
Student Center,75
Indian Restaurant,76
Professional & Other Places,77
Breakfast Spot,78
Event Space,79
Smoke Shop,80
River,81
Brazilian Restaurant,82
Design Studio,83
Taco Place,84
Bagel Shop,85
Automotive Shop,86
Building,87
University,88
Seafood Restaurant,89
Bowling Alley,90
Arcade,91
Convention Center,92
Miscellaneous Shop,93
Hotel,94
Gas Station / Garage,95
Japanese Restaurant,96
Animal Shelter,97
Shrine,98
American Restaurant,99
Vietnamese Restaurant,100
Concert Hall,101
Hot Dog Joint,102
City,103
German Restaurant,104
General College & University,105
Bus Station,106
Cupcake Shop,107
Rest Area,108
General Entertainment,109
Deli / Bodega,110
Art Museum,111
Stadium,112
General Travel,113
Music Venue,114
College Academic Building,115
Pet Store,116
Jewelry Store,117
Salad Place,118
Thai Restaurant,119
Church,120
Soup Place,121
Bar,122
Clothing Store,123
Elementary School,124
Pool,125
Community College,126
Other Great Outdoors,127
Synagogue,128
Donut Shop,129
Trade School,130
Sculpture Garden,131
Airport,132
Performing Arts Venue,133
Government Building,134
Residential Building (Apartment / Condo),135
Sandwich Place,136
Bakery,137
Library,138
French Restaurant,139
Korean Restaurant,140
Paper / Office Supplies Store,141
Bank,142
Asian Restaurant,143
Casino,144
Brewery,145
Science Museum,146
Nursery School,147
Playground,148
Ramen /  Noodle House,149
Beer Garden,150
Tattoo Parlor,151
Light Rail,152
Neighborhood,153
Cemetery,154
Moving Target,155
Subway,156
Mexican Restaurant,157
Arts & Entertainment,158
Scenic Lookout,159
Laundry Service,160
Art Gallery,161
Convenience Store,162
High School,163
BBQ Joint,164
Toy / Game Store,165
Bookstore,166
Museum,167
Taxi,168
Campground,169
Gym / Fitness Center,170
Road,171
Bridge,172
Gastropub,173
Park,174
Recycling Facility,175
