Uid,Pid,Catname,Region,Time
304,2794,25,17,2012-04-03 14:00
418,1338,172,60,2012-04-03 14:00
738,283,5,15,2012-04-03 14:02
326,501,5,60,2012-04-03 14:06
218,2284,62,38,2012-04-03 14:09
422,1501,86,77,2012-04-03 14:10
61,1899,63,86,2012-04-03 14:10
112,998,134,9,2012-04-03 14:12
359,613,67,41,2012-04-03 14:13
197,2227,54,38,2012-04-03 14:13
626,2256,54,49,2012-04-03 14:14
729,356,63,38,2012-04-03 14:15
550,444,54,41,2012-04-03 14:15
434,2196,114,38,2012-04-03 14:16
61,1362,156,74,2012-04-03 14:16
612,1110,75,11,2012-04-03 14:16
544,101,174,38,2012-04-03 14:17
370,2422,171,8,2012-04-03 14:18
544,2035,14,38,2012-04-03 14:19
411,345,142,84,2012-04-03 14:19
405,266,11,17,2012-04-03 14:24
411,2478,123,84,2012-04-03 14:24
503,1248,153,67,2012-04-03 14:26
608,2618,31,84,2012-04-03 14:27
151,1897,26,31,2012-04-03 14:33
151,68,5,31,2012-04-03 14:34
357,316,156,84,2012-04-03 14:36
439,2734,151,68,2012-04-03 14:39
327,2572,88,56,2012-04-03 14:42
61,1116,106,86,2012-04-03 14:44
611,1843,152,17,2012-04-03 14:47
298,1110,75,11,2012-04-03 14:49
463,1854,157,38,2012-04-03 14:51
767,2565,5,33,2012-04-03 14:55
359,1040,54,38,2012-04-03 14:56
606,47,127,10,2012-04-03 14:57
641,1503,153,46,2012-04-03 14:57
611,670,152,17,2012-04-03 15:00
216,2007,54,84,2012-04-03 15:00
634,2097,54,84,2012-04-03 15:01
622,63,99,17,2012-04-03 15:03
643,1559,99,84,2012-04-03 15:03
463,1121,11,38,2012-04-03 15:09
312,2751,63,51,2012-04-03 15:11
312,1911,63,64,2012-04-03 15:14
312,794,164,64,2012-04-03 15:15
351,722,39,38,2012-04-03 15:15
264,160,153,84,2012-04-03 15:18
61,2176,5,34,2012-04-03 15:20
442,764,87,38,2012-04-03 15:20
442,772,115,38,2012-04-03 15:21
130,1490,5,33,2012-04-03 15:21
766,2383,5,45,2012-04-03 15:24
69,697,54,38,2012-04-03 15:25
667,1482,174,38,2012-04-03 15:29
748,1805,5,19,2012-04-03 15:30
227,1309,132,36,2012-04-03 15:33
