Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
1,"[612, 276, 460, 151, 323, 749, 143]",88,11,"[11, 10, 8, 22, 14, 12, 23, 21]","[2282, 2552, 1110, 1480, 417, 735, 1138, 842, 158, 2264, 1902, 508, 2263, 931, 781, 1317, 1522, 1567, 892, 1440, 709, 671]","[2282, 1110, 842, 2264, 1902, 508, 2263, 735, 781, 1522, 1567, 892, 1138]"
2,[604],174,79,"[8, 21, 18, 17, 9, 19, 1, 20]","[1576, 310, 2, 2672]","[1576, 310, 2, 2672]"
3,"[36, 334]",115,4,"[12, 10, 9, 8, 11, 15]","[1366, 2397, 263, 1496, 1283, 293, 292, 2632, 1771, 12, 162, 2317]","[1366, 1283, 293, 1496, 2632, 2397, 1771, 292, 12, 162]"
4,[456],11,84,"[7, 8]","[1256, 2309, 2319, 2477, 996, 1318, 4, 1308, 2668, 2523, 1293, 1765, 2573, 1172, 1945, 225, 26, 512]","[1256, 2319, 2668, 1293, 1318, 4, 2309, 1308, 225, 1172, 26, 512]"
5,"[109, 48]",171,48,"[7, 12, 8, 21, 18, 22, 6, 10, 0, 1, 15]","[1724, 2092, 2718, 1651, 1357, 1933, 1964, 1829]","[1724, 2092, 1964, 2718, 1829, 1651, 1357]"
6,[312],42,64,"[16, 17, 10, 20, 0]","[1911, 2139, 2751, 2580, 387, 2254, 2643, 1186, 1683]","[1911, 2139, 387, 2254, 2643, 1683]"
7,[748],5,25,"[2, 23, 19, 11, 16, 17, 15, 22, 4]","[873, 7, 1805, 161, 101, 547, 2803]","[873, 7, 101, 1805, 2803, 161]"
8,[314],55,84,"[21, 22, 13, 14, 19, 7, 12, 17]","[804, 1612, 581, 2681, 8, 1188, 98, 1168, 1594, 360, 1114, 1614, 2772, 1710]","[804, 1612, 2681, 1594, 1114, 8, 2772]"
9,"[451, 322, 450, 482, 545, 301, 291, 218, 302, 427, 486, 172]",122,38,"[0, 20, 1, 3, 21, 23, 2]","[1524, 872, 1670, 2686, 1012, 1498, 2419, 1778, 2753, 340, 2037, 1789, 2300, 2377, 1460, 2629, 1392, 2805, 480, 1986, 1741, 884, 2727]","[2686, 1498, 1778, 340, 2037, 2300, 1460, 1392, 480, 1741, 1524, 2727, 872]"
10,"[508, 775]",156,62,"[8, 12, 20, 6, 17, 9, 11, 18, 16]","[2754, 1732, 2713, 1153, 510, 2529, 26, 10, 707, 347, 840, 645, 2588, 2048, 703, 929, 1582]","[2754, 2713, 1732, 1153, 510, 2529, 26, 10, 2588, 2048, 1582]"
11,"[195, 701]",152,6,"[18, 8, 9, 22]","[344, 11, 17, 2666, 137, 670, 1656]","[344, 11, 17, 2666, 1656]"
12,"[36, 334]",115,4,"[8, 9, 10, 12]","[2317, 1366, 2397, 1771, 1496, 263, 1283, 2692, 1468, 293, 2360, 3, 2632, 1855, 1043]","[2317, 1366, 1496, 2360, 1771, 2632, 1855]"
13,"[107, 111, 572, 113, 772]",93,17,"[17, 15, 18, 11, 20, 9, 19, 12]","[2223, 2257, 2485, 2192, 1177, 1565, 424, 2149, 866, 1904, 1092, 681, 1696, 784]","[2485, 424, 2192, 2223, 866, 1904, 1177, 1696, 2257]"
