Uid,Pid,Time
304,2794,2012-04-03 14:00
418,1338,2012-04-03 14:00
738,283,2012-04-03 14:02
326,501,2012-04-03 14:06
218,2284,2012-04-03 14:09
422,1501,2012-04-03 14:10
61,1899,2012-04-03 14:10
112,998,2012-04-03 14:12
197,2227,2012-04-03 14:13
359,613,2012-04-03 14:13
626,2256,2012-04-03 14:14
729,356,2012-04-03 14:15
550,444,2012-04-03 14:15
434,2196,2012-04-03 14:16
61,1362,2012-04-03 14:16
612,1110,2012-04-03 14:16
544,101,2012-04-03 14:17
370,2422,2012-04-03 14:18
544,2035,2012-04-03 14:19
411,345,2012-04-03 14:19
405,266,2012-04-03 14:24
411,2478,2012-04-03 14:24
503,1248,2012-04-03 14:26
608,2618,2012-04-03 14:27
151,1897,2012-04-03 14:33
151,68,2012-04-03 14:34
357,316,2012-04-03 14:36
439,2734,2012-04-03 14:39
327,2572,2012-04-03 14:42
61,1116,2012-04-03 14:44
611,1843,2012-04-03 14:47
298,1110,2012-04-03 14:49
463,1854,2012-04-03 14:51
767,2565,2012-04-03 14:55
359,1040,2012-04-03 14:56
641,1503,2012-04-03 14:57
606,47,2012-04-03 14:57
611,670,2012-04-03 15:00
216,2007,2012-04-03 15:00
634,2097,2012-04-03 15:01
622,63,2012-04-03 15:03
643,1559,2012-04-03 15:03
463,1121,2012-04-03 15:09
312,2751,2012-04-03 15:11
312,1911,2012-04-03 15:14
312,794,2012-04-03 15:15
351,722,2012-04-03 15:15
264,160,2012-04-03 15:18
61,2176,2012-04-03 15:20
442,764,2012-04-03 15:20
442,772,2012-04-03 15:21
130,1490,2012-04-03 15:21
766,2383,2012-04-03 15:24
69,697,2012-04-03 15:25
667,1482,2012-04-03 15:29
748,1805,2012-04-03 15:30
227,1309,2012-04-03 15:33
645,1264,2012-04-03 15:35
443,1161,2012-04-03 15:36
594,2662,2012-04-03 15:36
733,2497,2012-04-03 15:37
626,1311,2012-04-03 15:38
564,1823,2012-04-03 15:40
335,503,2012-04-03 15:40
464,2204,2012-04-03 15:45
175,2805,2012-04-03 15:47
90,652,2012-04-03 15:48
439,1953,2012-04-03 15:50
625,1346,2012-04-03 15:50
805,729,2012-04-03 15:51
644,637,2012-04-03 15:54
47,1064,2012-04-03 15:54
751,2460,2012-04-03 15:54
157,2355,2012-04-03 15:57
157,1869,2012-04-03 15:58
464,2095,2012-04-03 16:00
553,1670,2012-04-03 16:01
54,2225,2012-04-03 16:03
612,1567,2012-04-03 16:04
641,1784,2012-04-03 16:04
708,2585,2012-04-03 16:05
23,24,2012-04-03 16:05
464,2790,2012-04-03 16:07
533,1646,2012-04-03 16:07
363,2074,2012-04-03 16:08
709,992,2012-04-03 16:09
443,707,2012-04-03 16:11
466,565,2012-04-03 16:11
708,2100,2012-04-03 16:11
466,1127,2012-04-03 16:11
644,269,2012-04-03 16:11
623,2177,2012-04-03 16:18
443,1431,2012-04-03 16:23
594,866,2012-04-03 16:26
327,2568,2012-04-03 16:27
667,2621,2012-04-03 16:27
151,495,2012-04-03 16:29
702,1586,2012-04-03 16:38
708,1419,2012-04-03 16:38
191,2482,2012-04-03 16:40
69,822,2012-04-03 16:43
400,2009,2012-04-03 16:45
443,1255,2012-04-03 16:46
625,1438,2012-04-03 16:49
667,1590,2012-04-03 16:50
667,1206,2012-04-03 16:50
594,1447,2012-04-03 16:52
151,2261,2012-04-03 16:54
714,865,2012-04-03 16:55
151,1471,2012-04-03 16:55
151,22,2012-04-03 16:56
766,1924,2012-04-03 16:57
634,2460,2012-04-03 16:57
766,1150,2012-04-03 16:57
402,176,2012-04-03 16:58
748,1805,2012-04-03 16:58
554,603,2012-04-03 17:00
298,715,2012-04-03 17:00
151,595,2012-04-03 17:02
443,1005,2012-04-03 17:03
703,1582,2012-04-03 17:09
740,559,2012-04-03 17:12
538,2753,2012-04-03 17:12
805,1531,2012-04-03 17:13
538,1662,2012-04-03 17:14
357,1117,2012-04-03 17:14
205,636,2012-04-03 17:15
315,1590,2012-04-03 17:18
107,424,2012-04-03 17:24
307,2293,2012-04-03 17:24
107,1565,2012-04-03 17:26
327,2057,2012-04-03 17:27
75,171,2012-04-03 17:32
703,1708,2012-04-03 17:32
391,1230,2012-04-03 17:33
404,2606,2012-04-03 17:33
702,522,2012-04-03 17:34
130,1490,2012-04-03 17:34
98,813,2012-04-03 17:35
309,2205,2012-04-03 17:35
702,561,2012-04-03 17:36
104,1278,2012-04-03 17:36
666,2747,2012-04-03 17:38
131,634,2012-04-03 17:38
383,909,2012-04-03 17:41
620,1157,2012-04-03 17:42
23,1898,2012-04-03 17:42
75,829,2012-04-03 17:42
75,2531,2012-04-03 17:43
520,1492,2012-04-03 17:44
597,530,2012-04-03 17:46
327,2698,2012-04-03 17:48
776,327,2012-04-03 17:50
443,209,2012-04-03 17:51
117,487,2012-04-03 17:51
117,2249,2012-04-03 17:51
503,1604,2012-04-03 17:52
315,228,2012-04-03 17:53
503,226,2012-04-03 17:54
503,1929,2012-04-03 17:54
309,1389,2012-04-03 17:55
31,483,2012-04-03 17:56
31,1355,2012-04-03 17:56
564,1823,2012-04-03 17:57
125,624,2012-04-03 17:58
612,834,2012-04-03 17:59
167,2561,2012-04-03 18:00
327,405,2012-04-03 18:05
669,2312,2012-04-03 18:07
335,1534,2012-04-03 18:11
405,1372,2012-04-03 18:13
597,1120,2012-04-03 18:13
75,1208,2012-04-03 18:14
439,2734,2012-04-03 18:15
607,1875,2012-04-03 18:16
63,1923,2012-04-03 18:18
157,1994,2012-04-03 18:18
63,2611,2012-04-03 18:18
104,1966,2012-04-03 18:19
335,1970,2012-04-03 18:19
119,2778,2012-04-03 18:20
93,425,2012-04-03 18:21
119,486,2012-04-03 18:21
715,814,2012-04-03 18:23
96,977,2012-04-03 18:24
603,2460,2012-04-03 18:25
626,2243,2012-04-03 18:28
740,1062,2012-04-03 18:29
191,2662,2012-04-03 18:29
740,649,2012-04-03 18:29
86,750,2012-04-03 18:30
559,2000,2012-04-03 18:33
632,428,2012-04-03 18:36
227,984,2012-04-03 18:36
488,2769,2012-04-03 18:36
749,842,2012-04-03 18:36
738,283,2012-04-03 18:37
589,2777,2012-04-03 18:38
753,220,2012-04-03 18:40
199,802,2012-04-03 18:45
199,1494,2012-04-03 18:45
131,2111,2012-04-03 18:46
