Original_Uid,Mapped_Uid
1082,1
1001,2
1000,3
833,4
813,5
464,6
108,7
76,8
15,9
872,10
250,11
711,12
678,13
944,14
572,15
1011,16
776,17
663,18
383,19
41,20
495,21
719,22
184,23
70,24
156,25
546,26
643,27
747,28
340,29
472,30
246,31
754,32
946,33
99,34
814,35
344,36
216,37
300,38
233,39
981,40
555,41
303,42
730,43
545,44
465,45
619,46
774,47
635,48
448,49
516,50
617,51
476,52
415,53
573,54
412,55
657,56
343,57
492,58
377,59
517,60
445,61
596,62
474,63
1026,64
244,65
511,66
1041,67
601,68
623,69
1020,70
1004,71
599,72
694,73
204,74
354,75
1079,76
766,77
323,78
25,79
302,80
726,81
512,82
862,83
439,84
633,85
1044,86
838,87
836,88
797,89
319,90
927,91
138,92
715,93
482,94
918,95
987,96
114,97
84,98
746,99
613,100
113,101
61,102
479,103
185,104
429,105
685,106
645,107
852,108
936,109
341,110
740,111
891,112
5,113
314,114
947,115
683,116
381,117
407,118
90,119
280,120
188,121
24,122
856,123
688,124
12,125
888,126
911,127
798,128
584,129
734,130
816,131
892,132
901,133
915,134
1062,135
1031,136
287,137
710,138
21,139
56,140
178,141
687,142
434,143
254,144
1007,145
985,146
741,147
675,148
338,149
763,150
768,151
1038,152
353,153
684,154
818,155
475,156
335,157
905,158
132,159
262,160
728,161
855,162
179,163
152,164
43,165
306,166
787,167
902,168
473,169
677,170
992,171
804,172
957,173
757,174
783,175
100,176
159,177
649,178
380,179
708,180
136,181
1018,182
906,183
312,184
430,185
974,186
376,187
295,188
638,189
493,190
598,191
772,192
206,193
991,194
446,195
941,196
699,197
1009,198
432,199
283,200
594,201
93,202
523,203
293,204
49,205
1074,206
182,207
213,208
424,209
67,210
837,211
251,212
938,213
506,214
843,215
438,216
900,217
116,218
189,219
489,220
150,221
828,222
1006,223
639,224
214,225
661,226
16,227
765,228
1013,229
379,230
664,231
362,232
778,233
334,234
205,235
54,236
463,237
917,238
859,239
839,240
483,241
682,242
698,243
96,244
510,245
806,246
827,247
57,248
945,249
51,250
73,251
748,252
825,253
423,254
864,255
557,256
375,257
258,258
656,259
66,260
317,261
690,262
215,263
1055,264
762,265
329,266
631,267
372,268
34,269
980,270
899,271
1010,272
477,273
513,274
721,275
259,276
327,277
934,278
199,279
602,280
857,281
370,282
566,283
332,284
564,285
1037,286
1077,287
1051,288
202,289
264,290
660,291
347,292
155,293
7,294
240,295
595,296
164,297
752,298
704,299
931,300
830,301
35,302
462,303
470,304
484,305
456,306
526,307
628,308
440,309
20,310
97,311
706,312
703,313
471,314
519,315
307,316
802,317
238,318
243,319
396,320
431,321
364,322
