Original_Catname,Mapped_Catname
Convenience Store,1
Theater,2
Gas Station / Garage,3
Hotel,4
Chinese Restaurant,5
Department Store,6
Concert Hall,7
Flower Shop,8
Soup Place,9
Gaming Cafe,10
Drugstore / Pharmacy,11
Historic Site,12
Food & Drink Shop,13
BBQ Joint,14
Event Space,15
Donut Shop,16
Tea Room,17
Camera Store,18
Japanese Restaurant,19
Science Museum,20
Sculpture Garden,21
Sandwich Place,22
Train Station,23
Middle Eastern Restaurant,24
Beer Garden,25
Scenic Lookout,26
Bike Shop,27
Mall,28
Taxi,29
Office,30
Parking,31
Café,32
Ferry,33
Miscellaneous Shop,34
General Travel,35
Neighborhood,36
Arts & Crafts Store,37
Breakfast Spot,38
Road,39
Zoo,40
Music Store,41
Travel & Transport,42
Spiritual Center,43
Comedy Club,44
Moving Target,45
Sporting Goods Shop,46
Performing Arts Venue,47
Korean Restaurant,48
Convention Center,49
Bank,50
Sorority House,51
Subway,52
Recycling Facility,53
Burger Joint,54
Trade School,55
Bakery,56
Coffee Shop,57
Restaurant,58
Fair,59
Ramen /  Noodle House,60
Steakhouse,61
Embassy / Consulate,62
Bookstore,63
Harbor / Marina,64
Pool,65
Spa / Massage,66
Music Venue,67
General Entertainment,68
Art Gallery,69
Fried Chicken Joint,70
Airport,71
Park,72
Candy Store,73
Smoke Shop,74
Automotive Shop,75
Fish & Chips Shop,76
Cosmetics Shop,77
University,78
Laundry Service,79
Casino,80
Gym / Fitness Center,81
Toy / Game Store,82
Elementary School,83
American Restaurant,84
Temple,85
Brazilian Restaurant,86
Military Base,87
Plaza,88
Electronics Store,89
Housing Development,90
Travel Lounge,91
Arcade,92
Public Art,93
Professional & Other Places,94
Bus Station,95
Building,96
Shrine,97
Cemetery,98
History Museum,99
Student Center,100
Factory,101
Nursery School,102
College Academic Building,103
Furniture / Home Store,104
Pet Store,105
Diner,106
Hot Dog Joint,107
College & University,108
French Restaurant,109
Aquarium,110
Garden Center,111
Asian Restaurant,112
Racetrack,113
Antique Shop,114
Italian Restaurant,115
Medical Center,116
Video Store,117
Salon / Barbershop,118
Stadium,119
Video Game Store,120
Other Great Outdoors,121
Bar,122
Rest Area,123
Residential Building (Apartment / Condo),124
Garden,125
Art Museum,126
Outdoors & Recreation,127
Deli / Bodega,128
Indian Restaurant,129
Movie Theater,130
General College & University,131
Post Office,132
School,133
Home (private),134
Fast Food Restaurant,135
Dessert Shop,136
Pizza Place,137
Tanning Salon,138
Playground,139
Medical School,140
Library,141
Church,142
Food Truck,143
Clothing Store,144
Mobile Phone Shop,145
Bridge,146
High School,147
Paper / Office Supplies Store,148
River,149
Internet Cafe,150
Other Nightlife,151
Community College,152
Light Rail,153
Record Shop,154
Wings Joint,155
Shop & Service,156
Government Building,157
Dumpling Restaurant,158
Bike Rental / Bike Share,159
Athletic & Sport,160
Hobby Shop,161
Sushi Restaurant,162
Hardware Store,163
Museum,164
Gift Shop,165
Thrift / Vintage Store,166
Bowling Alley,167
Thai Restaurant,168
