Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
1,"[1335, 1294, 1079, 760, 1888, 544, 946, 898]",23,16,"[21, 8, 18, 7, 19, 12, 14]","[1716, 4800, 473, 4297, 4408, 3738, 1871, 3590, 4162, 2199, 4805, 803, 1269, 3162]","[4297, 4408, 3738, 3590, 2199, 803, 473, 1269, 4800]"
2,"[1521, 1046, 1945, 1296, 1204, 1452, 170, 2016, 1771, 52, 319, 1685, 214]",154,16,"[16, 11, 18, 14, 17, 10, 12]","[4415, 1039, 4714, 2569, 177, 2277, 1662, 2429, 1831, 1665, 250, 1408, 2278, 534, 4329, 2598, 2737]","[177, 1039, 4714, 2429, 1665, 250, 1408, 2278, 2277, 4329, 2737]"
3,[688],1,35,"[12, 11, 16, 17, 23, 22, 8, 7, 20, 15, 18, 13]","[2576, 3062, 983, 1225, 4387, 4356, 1038, 2371, 3, 4345, 1122, 4738, 731, 1311]","[2576, 983, 4356, 2371, 1225, 4345, 4738, 3, 731, 1311]"
4,"[1483, 233, 381, 39, 722, 62, 386, 1215, 2094, 143, 733, 1233, 441, 407, 734, 899, 749, 935, 1521, 1907, 340, 1770, 1389, 1539, 2104, 1382]",52,16,"[8, 15, 10, 18, 12, 17, 0, 20, 11, 16, 19, 9, 22, 23, 14]","[838, 3166, 4, 300, 1912, 1808, 177, 3132, 4070, 1263, 48, 321, 4602, 3958, 3381, 1521, 1569, 1716, 1302, 548, 3244, 3684, 3076, 697, 4865, 3098, 578, 4151, 1862, 1626, 2591, 4192, 3538, 411, 654, 2270, 669, 2139, 3127, 4121, 3466, 4177, 2538, 2429, 3219, 2248, 940, 1878, 4818, 93, 4293, 3124, 4068, 643, 602, 930, 1493, 4702, 2441, 4261, 1167, 3236, 1802, 3566, 2765, 2843, 144, 4821, 3238, 88]","[838, 3166, 4, 300, 1808, 1912, 177, 1521, 3244, 1263, 4865, 3098, 578, 1862, 4192, 3538, 411, 2270, 3127, 4121, 3381, 2538, 2248, 1569, 4818, 4293, 1716, 548, 643, 930, 1493, 2441, 1167, 1802, 3566, 2843, 3684, 3238, 3076, 3958]"
5,"[873, 127, 2099, 193, 423, 1670, 1051, 1400, 671, 520]",60,53,"[8, 21, 22, 13, 9, 11, 14, 15, 17]","[3958, 4499, 177, 2429, 1014, 167, 795, 321, 4805, 2585, 1643, 3556, 753, 786, 2041, 4610, 1902, 1509]","[4499, 177, 1014, 321, 2585, 3556, 786, 1902, 1509, 167]"
6,"[77, 2006]",63,24,"[20, 12, 23, 13, 11, 15, 16, 17, 14]","[1666, 6, 120, 1034, 1498, 2329, 3013, 3517, 2355, 3194, 2048]","[1666, 1034, 6, 120, 2329, 2355, 2048]"
7,"[1573, 1241, 41, 1001, 2, 649, 965, 2007, 1010, 1284, 340, 1728]",63,46,"[16, 18, 13, 19, 15, 17]","[4324, 3546, 3972, 786, 1848, 4892, 4453, 3193, 1757, 2873, 4475, 309, 232, 1155, 4771, 2479, 1303, 2668, 2218, 2950, 791, 98, 1033, 4258, 1324, 2988, 362]","[1848, 4892, 3193, 1757, 786, 4475, 232, 3546, 2479, 2668, 2218, 791, 1033, 4258, 1324, 362]"
8,"[360, 1203, 693, 157, 1108, 563, 1065, 251, 37, 896, 1642, 1947, 1147, 986, 1639, 462, 1605, 1548, 483, 387, 98, 741, 1556, 1906, 1233, 258, 931, 1525, 1169, 1228, 918, 1349, 1627, 640, 1152, 857, 248, 2066, 965, 238, 2059, 635, 1509, 1503, 261, 1788, 2053, 1689, 671, 786, 1457, 1494, 468, 1423, 227, 1042, 329, 69, 385, 118, 753, 1467, 429, 1322, 1542, 1669, 575, 746, 1117, 1865, 309, 791, 669, 56, 1215, 1305, 1023, 87, 1454, 1438, 837, 1069, 246, 2016, 1771, 90, 1274, 147, 2011, 662, 292, 1483, 1239, 781, 1887, 1692, 1795, 2086, 97, 1985, 391, 1091, 310, 320, 1914, 1151, 962, 1576, 1792, 1036, 1127, 490, 1498, 1396, 1338, 588, 1242, 1986, 1077, 244, 1757, 1223, 521, 1772, 923, 2102, 1150, 253, 798, 1937, 344, 305, 1680, 1293, 450, 591, 916, 29, 1298, 809, 1294, 1538, 182, 160, 1715, 477, 1259, 730, 286, 1750, 1905, 569, 1403, 1593, 568, 1522, 891, 65, 1081, 1252, 1984, 1927, 137, 719, 337, 1830, 1186, 1211, 1425, 646, 1664, 590, 2006, 30, 1649, 1686, 2, 327, 1776, 1299, 380, 1125, 686, 417, 1632, 1735, 1459, 754, 2077, 1784, 649, 760]",23,46,"[7, 16, 21, 19, 20, 22, 18, 15, 23, 10, 12, 9, 13, 17, 14, 11, 0, 8, 6, 2]","[786, 765, 8, 1716, 203, 362, 3958, 177, 2228, 4818, 4123, 3725, 167, 4716, 4685, 1277, 2322, 4337, 2260, 3145, 4771, 3182, 1122, 1260, 716, 2644, 1014, 2399, 1266, 2596, 4511, 4591, 2843, 2337, 3363, 4107, 3966, 4499, 3445, 2278, 1034, 845, 1544, 1536, 574, 3752, 3369, 3658, 706, 4865, 805, 1965, 4537, 2809, 2607, 2972, 198, 363, 1184, 2819, 2782, 1383, 4078, 2429, 1757, 602, 4253, 1900, 4747, 803, 4105, 1736, 4051, 1969, 368, 36, 4618, 459, 4113, 628, 4805, 773, 762, 1324, 1784, 394, 3568, 783, 238, 3269, 3424, 2016, 3856, 227, 374, 1064, 3384, 309, 4846, 2921, 1667, 3598, 175, 2246, 1706, 523, 4651, 3948, 3059, 1952, 4644, 341, 422, 738, 88, 4100, 1793, 4935, 3511, 3175, 4174, 2672, 2171, 1654, 3196, 2219, 4711, 991, 4125, 4635, 3722, 2982, 1964, 2768, 1499, 2021, 1533, 1547, 4779, 4715, 242, 4274, 392, 4475, 4565, 4398, 1880, 4552, 3188, 4826, 1686, 4853, 2661, 3357, 4103, 2839, 576, 1723, 2446, 4262, 4523, 1155, 4695, 546, 236, 3570, 2759, 481, 2398, 125, 2974, 3205, 3906, 2166, 1519, 1082, 570, 2154, 2862, 1254, 1480, 152, 226, 2990, 3777, 2376, 2640, 4934, 1377, 3587, 4402, 1562, 2528, 561, 1090, 3043, 89, 3015, 3669, 4886, 4293, 913, 85, 3348, 172, 1595, 1137, 3140, 2163, 3323, 1875, 503, 4509, 2844, 3078, 285, 4464, 3299, 1033, 1187, 2311, 3782, 2987, 814, 2432, 3017, 343, 427, 1568, 3282, 3071, 3099, 995, 2884, 881, 423, 4614, 4718, 307, 411, 2612, 1218, 4580, 38, 1722, 940, 372, 3976, 1394, 1380, 3595, 3450, 2993, 1729, 4324, 4407, 3565, 4892, 2254, 2668, 3505, 4680, 1100, 2173, 3011, 1373, 4870, 3666, 1401, 1256, 3712, 3029, 2598, 3684, 753, 1497, 4837, 1370, 2161, 2701, 2170, 382, 3584, 3843, 669, 1044, 2343, 2301]","[765, 786, 8, 203, 1716, 3958, 362, 177, 2228, 4818, 4716, 1277, 4685, 4123, 2843, 167, 3363, 3752, 3182, 2278, 1122, 4337, 1014, 706, 1266, 2644, 2322, 2596, 4591, 4499, 3445, 1260, 2429, 3658, 2260, 1034, 3145, 4865, 4771, 805, 845, 1965, 716, 1536, 4805, 4511, 2607, 394, 238, 1544, 3269, 2337, 309, 2921, 4107, 2246, 3948, 2399, 3725, 2819, 422, 4100, 3175, 4174, 2171, 2219, 4711, 4125, 602, 4253, 1900, 4747, 4635, 1757, 803, 2982, 1964, 2768, 1736, 4779, 242, 4475, 4398, 4552, 1686, 2661, 3357, 4618, 4051, 2839, 2446, 1155, 4113, 628, 236, 481, 2809, 125, 1324, 3205, 1082, 2154, 2862, 226, 2990, 3777, 2640, 3568, 561, 1090, 3015, 3669, 4293, 85, 773, 1595, 3424, 198, 1137, 2163, 3323, 363, 4509, 227, 2844, 285, 4464, 1383, 3782, 3017, 343, 427, 1568, 762, 3099, 995, 2884, 881, 423, 4718, 4537, 1064, 411, 1218, 940, 372, 3595, 459, 2016, 3450, 1729, 4407, 4892, 2254, 3505, 3598, 1100, 523, 2173, 1706, 3666, 1401, 1184, 2598, 1370, 2701, 2170, 574, 4651, 382, 3584, 368, 3059, 2343, 4846, 2301]"
9,"[293, 1164, 1697]",13,42,"[19, 18, 21, 22, 14, 20, 23, 17]","[662, 2314, 359, 4716, 3662, 1594, 1784, 45, 4449, 4810, 4050, 288, 2527, 3120, 1548, 3098, 4591, 2560, 574]","[662, 3662, 1594, 4716, 45, 4810, 4050, 288, 2527, 1548, 3098, 4591, 2314, 2560, 574]"
10,"[1599, 1012, 1548, 1598, 1696, 729]",32,8,"[10, 21, 7, 15, 8, 20, 13, 16]","[2284, 177, 372, 36, 576, 2206, 930, 3360, 4881, 1202, 3173, 1747, 625, 4198, 2587]","[2284, 177, 576, 372, 36, 4881, 1202, 1747, 4198, 2587]"
