Original_Region,Mapped_Region
8Q7XGQ,1
8Q7XQQ,2
8Q7XRR,3
8Q7XPV,4
8Q7XMM,5
8Q7XGJ,6
8Q7XJH,7
8Q7XMH,8
8Q7XQJ,9
8Q7XHQ,10
8Q7XPW,11
8Q7XQV,12
8Q7XHJ,13
8Q7XGH,14
8Q7XRJ,15
8Q7XMQ,16
8Q7XRM,17
8Q7XJJ,18
8Q7XHP,19
8Q7XVJ,20
8Q7XJQ,21
8Q7XPH,22
8Q7XMJ,23
8Q7XQP,24
8Q7XQR,25
8Q7XJV,26
8Q7XHG,27
8Q7XPF,28
8Q7XHH,29
8Q7XPJ,30
8Q7XVP,31
8Q7XMW,32
8Q7XQG,33
8Q7XJG,34
8Q7XQM,35
8Q7XJR,36
8Q7XRP,37
8Q7XVM,38
8Q7XJM,39
8Q7XPG,40
8Q7XMF,41
8Q7XPP,42
8Q7XVQ,43
8Q7XRQ,44
8Q7XGP,45
8Q7XPQ,46
8Q7XGM,47
8Q7XPR,48
8Q7XMV,49
8Q7XPM,50
8Q7XMP,51
8Q7XJF,52
8Q7XJP,53
8Q7XMR,54
8Q7XHM,55
8Q7XRH,56
8Q7XMG,57
8Q7XQH,58
