Original_Uid,Mapped_Uid
68,1
1240,2
810,3
1588,4
1132,5
1331,6
281,7
1487,8
1010,9
413,10
1832,11
1942,12
564,13
805,14
230,15
1107,16
1324,17
1702,18
2124,19
639,20
1732,21
1719,22
1213,23
933,24
1592,25
2279,26
1966,27
1882,28
1536,29
1167,30
1917,31
1723,32
1214,33
1420,34
2108,35
1053,36
347,37
562,38
418,39
1634,40
1776,41
889,42
1050,43
1901,44
721,45
354,46
1503,47
104,48
1327,49
1032,50
597,51
712,52
2104,53
1339,54
900,55
473,56
912,57
434,58
1803,59
686,60
1208,61
943,62
1575,63
1468,64
1878,65
1852,66
1178,67
359,68
196,69
45,70
525,71
704,72
2217,73
294,74
504,75
1066,76
834,77
688,78
1060,79
1657,80
1640,81
1180,82
91,83
687,84
2159,85
80,86
990,87
708,88
2256,89
1256,90
1582,91
2012,92
536,93
632,94
30,95
1756,96
1274,97
2125,98
407,99
803,100
1859,101
753,102
569,103
1637,104
1215,105
72,106
1631,107
1444,108
22,109
1301,110
362,111
29,112
1046,113
1012,114
1512,115
1722,116
676,117
179,118
1710,119
4,120
86,121
2050,122
2002,123
1729,124
1317,125
448,126
1663,127
1885,128
1745,129
2264,130
1400,131
1683,132
540,133
1118,134
499,135
1411,136
1435,137
199,138
655,139
534,140
1688,141
2234,142
1961,143
593,144
1100,145
1499,146
974,147
1075,148
558,149
559,150
1473,151
66,152
1,153
299,154
2055,155
1686,156
1953,157
1309,158
1861,159
1533,160
1820,161
393,162
1482,163
929,164
37,165
758,166
1886,167
1018,168
1105,169
1172,170
337,171
380,172
1718,173
874,174
292,175
835,176
1929,177
1370,178
1260,179
330,180
605,181
1253,182
446,183
1243,184
894,185
968,186
1769,187
1514,188
1458,189
1976,190
830,191
1730,192
1866,193
1332,194
1135,195
1587,196
2001,197
963,198
286,199
1170,200
1914,201
546,202
784,203
1125,204
324,205
2040,206
414,207
661,208
1927,209
2084,210
543,211
580,212
2120,213
107,214
720,215
2173,216
329,217
1884,218
2199,219
1931,220
268,221
735,222
1402,223
770,224
516,225
570,226
1755,227
2039,228
848,229
1049,230
806,231
828,232
1919,233
1835,234
277,235
115,236
1580,237
1635,238
65,239
825,240
1043,241
1156,242
1428,243
1456,244
390,245
1475,246
745,247
217,248
1971,249
169,250
965,251
1836,252
706,253
368,254
1938,255
325,256
1857,257
1492,258
618,259
2086,260
1604,261
629,262
2253,263
1138,264
429,265
94,266
2153,267
1329,268
1396,269
490,270
1964,271
1741,272
1877,273
1762,274
2292,275
33,276
1223,277
